Probeset	ART_0dpi_1	ART_0dpi_2	ART_0dpi_3
Mtr.10127.1.S1_s_at	23.0289	38.1818	45.7904
Mtr.10128.1.S1_at	35.5618	52.3911	58.7741
Mtr.10129.1.S1_at	115.747	185.171	196.815
Mtr.1013.1.S1_at	12.3509	9.85269	8.39607
Mtr.10130.1.S1_at	109.027	183.701	201.579
Mtr.10131.1.S1_at	72.9849	88.6661	71.0075
Mtr.10132.1.S1_at	113.753	150.52	117.998
Mtr.10133.1.S1_at	548.669	558.188	547.66
Mtr.10134.1.S1_at	21.2952	18.6111	19.9782
Mtr.10135.1.S1_at	35.0491	36.9504	28.9883
Mtr.10136.1.S1_at	376.004	295.74	251.919
Mtr.10137.1.S1_at	43.0002	99.841	88.6767
Mtr.10138.1.S1_at	188.69	200.155	176.795
Mtr.10139.1.S1_at	69.6118	156.284	144.888
Mtr.1014.1.S1_at	139.179	132.364	124.204
Mtr.10140.1.S1_at	18.0964	18.7601	29.7786
Mtr.10141.1.S1_at	11.4149	12.4069	19.5959
Mtr.10142.1.S1_at	20.8114	44.6002	49.0149
Mtr.10143.1.S1_at	7.28915	6.85809	7.162
Mtr.10144.1.S1_at	271.02	192.926	208.682
Mtr.10145.1.S1_at	12.6804	24.5311	27.2795
Mtr.10146.1.S1_at	10.2136	11.9441	8.30667
Mtr.10146.1.S1_s_at	12.5096	14.8585	10.0143
Mtr.10147.1.S1_at	10.9332	10.1931	10.4541
Mtr.10148.1.S1_at	16.7254	17.8733	16.568
Mtr.10149.1.S1_at	7.16551	6.70572	9.07093
Mtr.1015.1.S1_at	54.5295	36.8061	34.66
Mtr.10150.1.S1_at	15.133	11.253	10.1497
Mtr.10151.1.S1_s_at	42.9277	68.4422	77.8486
Mtr.10152.1.S1_at	259.655	202.759	247.114
Mtr.10153.1.S1_at	8.23733	10.2559	6.79644
Mtr.10153.1.S1_s_at	12.6447	17.0414	15.3433
Mtr.10154.1.S1_at	9.24259	10.7819	7.75061
Mtr.10155.1.S1_at	78.5794	134.07	156.959
Mtr.10156.1.S1_at	44.4594	198.849	207.731
Mtr.10157.1.S1_at	122.56	230.711	256.806
Mtr.10158.1.S1_at	335.045	312.748	303.334
Mtr.10159.1.S1_at	44.4594	46.3826	38.8481
Mtr.1016.1.S1_at	75.8997	68.4829	90.1766
Mtr.10160.1.S1_at	6.6747	6.44084	7.40383
Mtr.10160.1.S1_x_at	6.03989	6.51395	6.37426
Mtr.10161.1.S1_at	295.637	282.692	259.793
Mtr.10162.1.S1_at	65.4079	194.566	194.493
Mtr.10163.1.S1_at	30.3298	91.0507	100.426
Mtr.10164.1.S1_at	30.2824	74.193	79.7283
Mtr.10165.1.S1_at	1446.63	1772.55	1654.46
Mtr.10166.1.S1_at	1082.86	927.674	894.307
Mtr.10167.1.S1_at	19.458	56.3461	57.7355
Mtr.10168.1.S1_at	91.1232	69.2806	46.751
Mtr.10169.1.S1_at	37.2686	67.8209	78.7955
Mtr.1017.1.S1_at	8.74776	7.03981	6.5959
Mtr.10170.1.S1_at	20.0771	19.6387	13.7634
Mtr.10171.1.S1_at	37.2992	111.983	113.464
Mtr.10172.1.S1_at	41.5949	107.367	106.523
Mtr.10173.1.S1_at	63.7526	103.753	124.909
Mtr.10174.1.S1_at	9.34193	9.86864	7.20679
Mtr.10175.1.S1_at	2046.55	1650.42	933.588
Mtr.10176.1.S1_at	378.453	341.522	382.445
Mtr.10177.1.S1_at	311.086	312.112	274.377
Mtr.10178.1.S1_at	913.566	948.934	1033.13
Mtr.10179.1.S1_at	12.7358	9.88697	12.8355
Mtr.1018.1.S1_at	10.2133	11.7327	12.7297
Mtr.1018.1.S1_s_at	820.125	1004.84	1009.86
Mtr.10180.1.S1_at	24.0455	26.027	32.8965
Mtr.10181.1.S1_at	73.2459	194.503	234.708
Mtr.10182.1.S1_at	13.3306	15.3646	14.5434
Mtr.10183.1.S1_s_at	22.3986	69.0309	72.0948
Mtr.10184.1.S1_at	16.4328	59.5542	54.5164
Mtr.10185.1.S1_at	37.3425	60.5323	94.5075
Mtr.10186.1.S1_at	21.3466	24.2877	21.7216
Mtr.10187.1.S1_at	834.573	755.116	653.416
Mtr.10188.1.S1_at	10.3313	15.187	19.1399
Mtr.10188.1.S1_x_at	11.7392	19.9368	32.1895
Mtr.10189.1.S1_at	196.618	192.025	297.402
Mtr.1019.1.S1_at	8.8372	6.80862	7.43651
Mtr.10190.1.S1_at	12.1577	12.6726	12.3179
Mtr.10191.1.S1_at	8.61329	9.2452	8.91487
Mtr.10192.1.S1_at	55.9714	39.2272	43.5949
Mtr.10193.1.S1_at	353.48	288.098	281.038
Mtr.10194.1.S1_at	49.2375	60.6431	60.4369
Mtr.10195.1.S1_at	7.07811	6.85809	7.75903
Mtr.10196.1.S1_at	33.6986	47.721	27.7415
Mtr.10197.1.S1_at	158.404	204.699	205.257
Mtr.10198.1.S1_at	24.8707	13.4111	11.1145
Mtr.10199.1.S1_at	807.712	658.512	506.016
Mtr.10199.1.S1_s_at	540.606	520.979	492.956
Mtr.102.1.S1_x_at	39.2101	28.3666	33.3946
Mtr.1020.1.S1_at	61.4305	51.0621	51.8376
Mtr.10200.1.S1_at	699.106	748.278	599
Mtr.10201.1.S1_at	39.5028	50.7051	29.7081
Mtr.10202.1.S1_at	52.4311	124.797	128.357
Mtr.10203.1.S1_at	764.082	631.853	558.312
Mtr.10203.1.S1_s_at	544.155	478.555	406.32
Mtr.10204.1.S1_at	425.458	278.273	287.949
Mtr.10205.1.S1_at	42.3031	46.6941	45.3891
Mtr.10206.1.S1_at	6.42132	6.27723	5.21381
Mtr.10207.1.S1_at	19.7191	30.1411	20.234
Mtr.10208.1.S1_at	8.04374	6.84948	6.80446
Mtr.10209.1.S1_at	78.2771	181.101	197.68
Mtr.1021.1.S1_at	18.7538	9.37913	10.4979
Mtr.10210.1.S1_at	8.12116	7.77154	8.62435
Mtr.10211.1.S1_at	1155.8	1412.97	1402.11
Mtr.10212.1.S1_at	908.537	974.777	976.151
Mtr.10213.1.S1_at	48.46	129.452	104.699
Mtr.10214.1.S1_at	6.89961	6.85809	5.73777
Mtr.10215.1.S1_at	73.0226	135.318	111.703
Mtr.10216.1.S1_at	188.89	160.768	156.249
Mtr.10217.1.S1_at	13.5193	13.6483	13.1094
Mtr.10218.1.S1_at	175.972	198.247	194.487
Mtr.10219.1.S1_at	42.3497	105.55	105.32
Mtr.1022.1.S1_at	6.37338	6.19691	6.04475
Mtr.10220.1.S1_s_at	8.03833	9.66804	9.02638
Mtr.10221.1.S1_at	818.133	838.231	1473.82
Mtr.10222.1.S1_at	83.5235	130.229	115.953
Mtr.10223.1.S1_at	7.41955	9.98001	7.81951
Mtr.10224.1.S1_at	10.4081	13.3005	13.6247
Mtr.10225.1.S1_at	12.2007	29.1551	27.7642
Mtr.10226.1.S1_at	433.364	433.648	420.921
Mtr.10227.1.S1_at	7.21972	6.58164	7.7672
Mtr.10228.1.S1_at	9.66489	7.36645	9.48247
Mtr.10229.1.S1_at	40.5837	176.944	226.358
Mtr.1023.1.S1_at	10.3099	9.23716	9.21744
Mtr.10230.1.S1_at	59.0344	62.9478	58.8269
Mtr.10231.1.S1_at	22.3986	27.8975	22.4879
Mtr.10232.1.S1_at	23.5499	33.3964	38.6879
Mtr.10233.1.S1_at	761.042	820.298	886.714
Mtr.10234.1.S1_at	7.25415	8.74222	6.161
Mtr.10234.1.S1_s_at	86.692	52.7284	54.7348
Mtr.10235.1.S1_at	9.13209	26.1272	25.0742
Mtr.10236.1.S1_at	85.7512	71.0913	66.6154
Mtr.10237.1.S1_at	20.9776	26.3296	25.3535
Mtr.10238.1.S1_at	152.29	157.308	147.821
Mtr.10239.1.S1_at	63.5309	148.514	160.259
Mtr.10240.1.S1_at	508.599	416.853	473.033
Mtr.10241.1.S1_at	7.01141	8.67378	7.41305
Mtr.10242.1.S1_at	252.627	262.882	261.547
Mtr.10243.1.S1_at	87.2999	85.8389	87.2529
Mtr.10244.1.S1_at	75.7305	92.3214	86.3642
Mtr.10245.1.S1_at	219.519	240.292	250.673
Mtr.10246.1.S1_at	19.2937	21.7816	21.8861
Mtr.10247.1.S1_at	697.66	631.792	573.082
Mtr.10248.1.S1_at	1440.49	1543.61	1310.12
Mtr.10249.1.S1_at	12.2221	9.82099	12.3365
Mtr.1025.1.S1_at	9.1351	10.14	11.9069
Mtr.10250.1.S1_at	11.1688	8.318	7.79487
Mtr.10251.1.S1_at	286.858	365.424	372.651
Mtr.10252.1.S1_at	14.4198	8.55856	12.1343
Mtr.10253.1.S1_at	382.693	333.741	397.96
Mtr.10254.1.S1_at	357.909	396.049	388.94
Mtr.10255.1.S1_at	96.1396	379.976	410.086
Mtr.10256.1.S1_at	22.0976	56.0269	52.8928
Mtr.10257.1.S1_at	25.1157	17.6466	23.8334
Mtr.10258.1.S1_at	16.4509	38.9803	44.6653
Mtr.10259.1.S1_at	7.77439	10.5892	9.90095
Mtr.10261.1.S1_at	29.2843	28.6007	33.2008
Mtr.10262.1.S1_at	13.0973	49.6732	35.5151
Mtr.10263.1.S1_at	635.268	1303.98	1448.08
Mtr.10264.1.S1_at	27.1124	27.6162	42.5878
Mtr.10265.1.S1_at	201.331	179.25	143.376
Mtr.10265.1.S1_s_at	584.579	555.518	538.975
Mtr.10266.1.S1_at	15.1232	43.4662	52.9357
Mtr.10267.1.S1_at	680.082	535.685	500.023
Mtr.10267.1.S1_a_at	1839.7	1688.3	1805.75
Mtr.10268.1.S1_at	162.964	187.864	188.543
Mtr.10269.1.S1_at	59.6493	78.9501	95.2911
Mtr.1027.1.S1_at	40.351	25.563	25.9962
Mtr.10270.1.S1_at	73.9358	165.17	156.998
Mtr.10271.1.S1_at	20.0912	16.8576	17.3895
Mtr.10272.1.S1_at	580.34	622.597	586.201
Mtr.10273.1.S1_at	269.686	249.846	221.969
Mtr.10274.1.S1_at	223.206	209.88	224.103
Mtr.10275.1.S1_s_at	10.9795	10.5545	7.28517
Mtr.10276.1.S1_at	66.3578	125.404	124.625
Mtr.10277.1.S1_at	42.0689	139.335	159.592
Mtr.10278.1.S1_at	215.948	219.433	214.328
Mtr.10279.1.S1_at	8.01913	6.66385	8.30898
Mtr.10279.1.S1_s_at	20.1173	80.1922	91.9636
Mtr.1028.1.S1_at	9.59361	9.28831	7.05286
Mtr.10280.1.S1_at	30.333	27.7242	28.2109
Mtr.10282.1.S1_at	306.941	435.151	479.172
Mtr.10283.1.S1_at	221.284	353.751	359.787
Mtr.10284.1.S1_at	50.1309	42.7631	62.4319
Mtr.10285.1.S1_at	15.6166	12.8805	15.3902
Mtr.10286.1.S1_at	87.3017	264.579	198.399
Mtr.10287.1.S1_at	107.849	180.377	160.827
Mtr.10288.1.S1_at	9.8945	12.6044	13.6719
Mtr.10289.1.S1_at	15.3496	14.835	14.5083
Mtr.1029.1.S1_at	7.72812	8.37661	8.55151
Mtr.10290.1.S1_at	10.8271	25.8625	38.9991
Mtr.10291.1.S1_at	2237.98	1816.05	1959.49
Mtr.10292.1.S1_at	255.612	245.708	172.311
Mtr.10293.1.S1_at	13.5888	14.4855	10.6443
Mtr.10294.1.S1_at	78.4933	237.144	235.655
Mtr.10295.1.S1_at	25.3642	63.0474	43.6139
Mtr.10296.1.S1_at	137.068	183.36	191.354
Mtr.10297.1.S1_at	16668.4	16104	17124
Mtr.10298.1.S1_at	15.8923	15.4378	14.3554
Mtr.10299.1.S1_at	6518.26	6628.57	7494.79
Mtr.103.1.S1_at	7.2005	7.84616	7.40499
Mtr.10300.1.S1_at	5728.55	6136.01	6244.19
Mtr.10301.1.S1_s_at	39.3516	49.5	50.3966
Mtr.10302.1.S1_x_at	76.6565	72.1018	69.8997
Mtr.10303.1.S1_at	4912.59	5687.08	4941.68
Mtr.10304.1.S1_at	3995.35	3557.94	3653.26
Mtr.10305.1.S1_at	7189.87	6638.11	6386.65
Mtr.10306.1.S1_at	5844.63	5492.65	5964.57
Mtr.10307.1.S1_at	916.426	827.678	804.529
Mtr.10308.1.S1_at	5389.48	5118.61	4411.59
Mtr.10309.1.S1_at	5896.84	6196.94	6301.54
Mtr.1031.1.S1_at	10.809	8.57437	9.53059
Mtr.10310.1.S1_at	84.7375	326.625	270.232
Mtr.10311.1.S1_at	300.193	339.786	817.794
Mtr.10312.1.S1_at	1124.62	1199.74	1066.26
Mtr.10313.1.S1_at	4005.96	4142.68	4011.28
Mtr.10314.1.S1_at	602.757	659.406	611.843
Mtr.10315.1.S1_at	1448.33	1068.33	1085.68
Mtr.10316.1.S1_at	4314.24	3910.21	4342.52
Mtr.10317.1.S1_at	2354.48	2395.75	3053.9
Mtr.10318.1.S1_at	4382.73	4214.85	3869.69
Mtr.10319.1.S1_at	1074.84	906.071	1349.28
Mtr.1032.1.S1_at	7.97466	9.66804	13.0414
Mtr.10320.1.S1_at	1574.44	1395.54	1611.56
Mtr.10321.1.S1_at	6122.06	5988.94	6494.09
Mtr.10322.1.S1_at	3488.04	3458.91	3155.77
Mtr.10323.1.S1_at	3172.01	3643.33	3697.52
Mtr.10324.1.S1_at	4788.69	4903.05	4864.04
Mtr.10325.1.S1_at	59.761	76.2047	38.791
Mtr.10326.1.S1_at	4019.07	4783.7	4018.66
Mtr.10327.1.S1_at	255.278	820.241	774.056
Mtr.10329.1.S1_at	7.39554	6.54069	7.0159
Mtr.1033.1.S1_at	460.74	663.077	588.064
Mtr.1033.1.S1_s_at	699.365	622.233	616.346
Mtr.10330.1.S1_at	9.54386	47.4318	48.1786
Mtr.10330.1.S1_s_at	42.0689	122.282	118.33
Mtr.10330.1.S1_x_at	26.6711	91.6859	85.1093
Mtr.10331.1.S1_at	1518.03	2230.74	2171.28
Mtr.10332.1.S1_at	72.9374	77.4666	147.078
Mtr.10337.1.S1_at	1146.36	1094.26	1143.65
Mtr.10338.1.S1_at	10.038	7.30079	7.45909
Mtr.10338.1.S1_s_at	649.872	945.947	900.578
Mtr.10339.1.S1_at	87.6072	83.6679	64.3617
Mtr.1034.1.S1_at	1190.26	1071.22	1077.29
Mtr.10340.1.S1_at	1979.01	1970.09	1742.25
Mtr.10341.1.S1_at	603.103	531.36	514.632
Mtr.10342.1.S1_at	2578.63	2721.29	2772.74
Mtr.10343.1.S1_at	11.2935	10.2236	12.4555
Mtr.10344.1.S1_at	2242.16	2297.98	1977.56
Mtr.10345.1.S1_s_at	665.132	891.002	931.302
Mtr.10346.1.S1_at	12.7695	39.5668	59.6051
Mtr.10347.1.S1_at	3522.58	3588.61	3564.59
Mtr.10348.1.S1_at	25.2647	27.5616	23.0583
Mtr.10349.1.S1_at	91.1654	96.5309	85.7384
Mtr.10349.1.S1_s_at	2635.71	2800.61	3111.04
Mtr.1035.1.S1_at	21.3218	21.9141	15.5204
Mtr.10350.1.S1_at	7.46461	8.87849	10.6443
Mtr.10351.1.S1_at	2010.41	1850.6	1990.25
Mtr.10352.1.S1_at	4330.51	4174.24	3816.18
Mtr.10353.1.S1_at	14.9997	18.7969	20.4823
Mtr.10353.1.S1_s_at	8.85824	40.7611	27.2241
Mtr.10354.1.S1_at	5980.29	6272.29	5922.56
Mtr.10355.1.S1_at	1802.74	1406.66	1391.55
Mtr.10356.1.S1_at	4791.16	4987.08	4592.2
Mtr.10357.1.S1_at	10324.7	9263.42	8845.81
Mtr.10358.1.S1_at	82.5283	188.399	250.422
Mtr.10359.1.S1_at	1078.84	1181.46	1055.5
Mtr.1036.1.S1_at	7.76448	6.553	6.88834
Mtr.10360.1.S1_s_at	1481.79	1945.91	2049.52
Mtr.10361.1.S1_at	13875.7	14788.1	14024.6
Mtr.10362.1.S1_at	9418.13	8242.36	8418.92
Mtr.10363.1.S1_x_at	4376.95	5020.32	4067.67
Mtr.10364.1.S1_at	9.98491	13.8576	9.81008
Mtr.10365.1.S1_at	12.7211	10.6422	12.1381
Mtr.10365.1.S1_s_at	18638.9	19287.5	18931.8
Mtr.10366.1.S1_at	134.526	116.942	70.2618
Mtr.10367.1.S1_at	7454.67	6760.99	6242.55
Mtr.10368.1.S1_at	102.989	99.1842	152.801
Mtr.10369.1.S1_at	824.836	664.764	393.263
Mtr.1037.1.S1_at	20.6196	15.3646	16.4064
Mtr.10370.1.S1_at	9016.12	8824.1	8119.6
Mtr.10371.1.S1_at	8171.91	9147.03	7962.95
Mtr.10372.1.S1_at	7365.13	6434.03	5875.7
Mtr.10373.1.S1_at	1611.77	1932.66	3089.3
Mtr.10375.1.S1_at	1587.28	1791.5	2405.53
Mtr.10376.1.S1_at	1042	1181.76	1333.51
Mtr.10377.1.S1_at	200.866	138.383	122.133
Mtr.10377.1.S1_s_at	91.9903	129.948	98.8267
Mtr.10378.1.S1_at	37.2992	38.53	29.2032
Mtr.10379.1.S1_at	24.9055	38.0759	29.7735
Mtr.1038.1.S1_at	182.498	141.189	139.369
Mtr.10380.1.S1_at	9.22764	9.09566	11.3524
Mtr.10382.1.S1_at	19.0941	16.9427	15.5727
Mtr.10383.1.S1_at	10.3798	9.74206	8.30667
Mtr.10384.1.S1_at	7.39595	6.49432	8.44223
Mtr.10385.1.S1_at	47.9021	23.4627	28.1938
Mtr.10386.1.S1_at	93.5317	62.1903	51.4994
Mtr.10387.1.S1_at	6.84045	6.2037	5.90235
Mtr.10388.1.S1_at	189.804	243.812	248.195
Mtr.10389.1.S1_s_at	234.454	328.232	485.71
Mtr.1039.1.S1_at	115.371	99.6936	98.4249
Mtr.10390.1.S1_at	809.984	625.946	518.74
Mtr.10391.1.S1_at	5103.09	3879.11	3939.59
Mtr.10392.1.S1_at	21653.3	22121.1	22148.8
Mtr.10393.1.S1_at	7068.31	9539.3	7760.28
Mtr.10394.1.S1_at	1822.94	1691.43	1320.52
Mtr.10395.1.S1_at	183.37	419.687	395.742
Mtr.10396.1.S1_at	522.207	449.142	491.72
Mtr.10397.1.S1_at	1050.41	1118.43	1208.87
Mtr.10398.1.S1_at	9661.26	9578.66	8884.04
Mtr.10399.1.S1_at	8127.82	9280.31	9177.22
Mtr.104.1.S1_at	7.76946	8.4495	6.58401
Mtr.1040.1.S1_at	151.62	153.634	178.842
Mtr.10400.1.S1_at	4560.18	5023.63	4906.25
Mtr.10402.1.S1_at	69.7522	83.6419	99.9954
Mtr.10403.1.S1_at	140.038	108.858	134.123
Mtr.10404.1.S1_at	930.097	825.382	819.475
Mtr.10405.1.S1_at	595.512	428.283	481.023
Mtr.10406.1.S1_at	10.7903	12.2756	13.5091
Mtr.10407.1.S1_at	100.697	259.739	285.348
Mtr.10407.1.S1_s_at	578.383	1045.64	1113.75
Mtr.10408.1.S1_at	1898.86	1891.27	1973.92
Mtr.10409.1.S1_at	10967.1	11566.8	10902.8
Mtr.1041.1.S1_at	7.76894	6.90569	10.035
Mtr.10410.1.S1_at	43.667	61.8102	65.427
