Probeset	Nod_10dpi_1	Nod_10dpi_2	Nod_10dpi_3
Mtr.10135.1.S1_at	76.248	68.2562	77.4323
Mtr.10136.1.S1_at	16.6542	24.0879	30.3358
Mtr.10137.1.S1_at	140.221	84.8799	74.1665
Mtr.10138.1.S1_at	605.711	849.581	872.571
Mtr.10139.1.S1_at	217.007	185.943	218.749
Mtr.1014.1.S1_at	171.904	132.664	231.076
Mtr.10140.1.S1_at	125.703	103.164	87.4512
Mtr.10141.1.S1_at	226.048	81.4518	31.5254
Mtr.10142.1.S1_at	70.3036	55.501	44.3372
Mtr.10143.1.S1_at	7.35576	6.50077	5.77565
Mtr.10144.1.S1_at	44.1756	74.7353	33.5365
Mtr.10145.1.S1_at	58.8994	35.6945	48.5086
Mtr.10146.1.S1_at	9.92412	8.15598	9.9655
Mtr.10146.1.S1_s_at	8.38427	9.66159	9.29175
Mtr.10147.1.S1_at	11.0701	10.3317	10.4636
Mtr.10148.1.S1_at	16.8864	17.2701	15.5487
Mtr.10149.1.S1_at	9.3433	8.16599	6.8526
Mtr.1015.1.S1_at	43.8021	39.671	34.1086
Mtr.10150.1.S1_at	10.9518	8.05684	8.8647
Mtr.10151.1.S1_s_at	66.9586	48.2887	37.5595
Mtr.10152.1.S1_at	169.449	152.772	172.127
Mtr.10153.1.S1_at	9.61193	10.1377	10.1318
Mtr.10153.1.S1_s_at	19.9093	13.9308	18.4098
Mtr.10154.1.S1_at	8.22087	10.0887	8.11942
Mtr.10155.1.S1_at	271.396	254.865	205.86
Mtr.10156.1.S1_at	143.631	126.018	111.074
Mtr.10157.1.S1_at	349.328	275.124	296.077
Mtr.10158.1.S1_at	556.683	428.098	513.453
Mtr.10159.1.S1_at	142.01	127.837	191.449
Mtr.1016.1.S1_at	38.9666	38.1833	52.969
Mtr.10160.1.S1_at	5.75648	6.62323	5.9652
Mtr.10160.1.S1_x_at	6.64044	6.73156	5.72259
Mtr.10161.1.S1_at	621.462	549.301	560.6
Mtr.10162.1.S1_at	120.706	147.967	97.8185
Mtr.10163.1.S1_at	85.777	80.163	83.7785
Mtr.10164.1.S1_at	52.2791	43.937	45.3176
Mtr.10165.1.S1_at	1652.24	1128.51	1527.01
Mtr.10166.1.S1_at	734.964	842.897	894.146
Mtr.10167.1.S1_at	108.794	115.776	76.4786
Mtr.10168.1.S1_at	101.774	73.658	80.1253
Mtr.10169.1.S1_at	116.103	103.177	91.3785
Mtr.1017.1.S1_at	6.4546	8.28642	9.14295
Mtr.10170.1.S1_at	45.7359	36.4299	15.3065
Mtr.10171.1.S1_at	142.945	123.302	99.8677
