Probeset	Nod_28dpi_1	Nod_28dpi_2	Nod_28dpi_3
Mtr.1020.1.S1_at	44.2166	37.448	48.5974
Mtr.10200.1.S1_at	916.46	888.443	788.613
Mtr.10201.1.S1_at	46.9281	43.9842	38.1072
Mtr.10202.1.S1_at	194.097	224.433	229.118
Mtr.10203.1.S1_at	631.256	513.285	532.537
Mtr.10203.1.S1_s_at	644.795	702.589	567.111
Mtr.10204.1.S1_at	304.144	377.698	342.168
Mtr.10205.1.S1_at	137.339	137.641	116.606
Mtr.10206.1.S1_at	6.44383	6.27136	5.68916
Mtr.10207.1.S1_at	13.8018	14.7768	13.4078
Mtr.10208.1.S1_at	7.81806	7.10872	6.49307
Mtr.10209.1.S1_at	348.785	400.429	320.268
Mtr.1021.1.S1_at	11.708	14.4236	13.0371
Mtr.10210.1.S1_at	10.201	8.83039	8.40884
Mtr.10211.1.S1_at	560.16	452.003	441.488
Mtr.10212.1.S1_at	544.969	638.447	639.551
Mtr.10213.1.S1_at	576.507	685.244	675.844
Mtr.10214.1.S1_at	7.03786	7.35481	7.35018
Mtr.10215.1.S1_at	33.383	39.6215	40.6385
Mtr.10216.1.S1_at	114.51	110.657	115.958
Mtr.10217.1.S1_at	10.1163	10.3704	9.41429
Mtr.10218.1.S1_at	190.615	175.043	200.78
Mtr.10219.1.S1_at	151.501	136.191	133.699
Mtr.1022.1.S1_at	5.80947	6.74787	6.34919
Mtr.10220.1.S1_s_at	8.12811	8.41279	6.42396
Mtr.10221.1.S1_at	22.8875	25.2121	15.6511
Mtr.10222.1.S1_at	74.8701	96.5006	100.79
Mtr.10223.1.S1_at	11.0237	9.07863	10.9142
Mtr.10224.1.S1_at	7.26694	7.8766	7.97714
Mtr.10225.1.S1_at	137.549	112.138	85.2166
Mtr.10226.1.S1_at	155.576	178.182	156.828
Mtr.10227.1.S1_at	7.03786	8.87539	15.2788
Mtr.10228.1.S1_at	10.8279	13.623	10.4575
Mtr.10229.1.S1_at	524.694	485.21	435.102
Mtr.1023.1.S1_at	9.48536	7.44328	9.04863
Mtr.10230.1.S1_at	131.859	140.278	131.432
Mtr.10231.1.S1_at	17.0907	18.4645	28.3699
Mtr.10232.1.S1_at	97.9969	135.632	121.229
Mtr.10233.1.S1_at	1186.75	1127.98	1184.06
Mtr.10234.1.S1_at	5.51715	6.94876	6.43765
Mtr.10234.1.S1_s_at	31.6943	31.4479	36.8777
Mtr.10235.1.S1_at	21.4057	24.0834	39.9774
Mtr.10236.1.S1_at	15.26	11.2075	13.2933
Mtr.10237.1.S1_at	38.6345	36.4058	29.7131
Mtr.10238.1.S1_at	61.7025	73.8901	71.3447
Mtr.10239.1.S1_at	141.711	205.357	150.033
Mtr.10240.1.S1_at	273.073	252.666	238.235
Mtr.10241.1.S1_at	15.9773	12.3872	9.96508
Mtr.10242.1.S1_at	309.188	287.747	299.494
Mtr.10243.1.S1_at	39.4628	36.7277	34.0126
Mtr.10244.1.S1_at	81.0262	78.5399	72.1679
Mtr.10245.1.S1_at	272.134	272.822	242.906
Mtr.10246.1.S1_at	18.2866	14.4576	19.858
Mtr.10247.1.S1_at	193.627	154.143	134.64
