Probeset	ART_00meristem_1	ART_00meristem_2	ART_00meristem_3
Mtr.10212.1.S1_at	1227.65	1122.7	1099.75
Mtr.10213.1.S1_at	83.5666	83.3493	100.944
Mtr.10214.1.S1_at	6.36672	8.36438	6.25334
Mtr.10215.1.S1_at	110.721	107.824	99.3284
Mtr.10216.1.S1_at	186.497	193.572	195.863
Mtr.10217.1.S1_at	13.6053	11.7856	14.2849
Mtr.10218.1.S1_at	225.445	248.293	243.416
Mtr.10219.1.S1_at	75.9191	63.0277	60.3132
Mtr.1022.1.S1_at	5.52097	8.32394	6.00914
Mtr.10220.1.S1_s_at	10.7122	9.62327	9.61974
Mtr.10221.1.S1_at	6093.87	5539.86	6065.14
Mtr.10222.1.S1_at	84.027	75.7501	82.6118
Mtr.10223.1.S1_at	5.74839	7.41776	7.51394
Mtr.10224.1.S1_at	49.7459	64.3231	61.7067
Mtr.10225.1.S1_at	73.6782	73.8628	79.0997
Mtr.10226.1.S1_at	329.101	373.325	382.156
Mtr.10227.1.S1_at	6.94275	7.05771	5.91912
Mtr.10228.1.S1_at	7.84678	9.07093	9.82444
Mtr.10229.1.S1_at	43.8249	33.2689	35.4712
Mtr.1023.1.S1_at	7.83614	10.5585	7.92736
Mtr.10230.1.S1_at	139.921	135.952	126.739
Mtr.10231.1.S1_at	26.2928	29.0064	29.3298
Mtr.10232.1.S1_at	15.6525	25.5099	17.6551
Mtr.10233.1.S1_at	778.603	843.173	803.508
Mtr.10234.1.S1_at	8.30578	7.64362	7.6415
Mtr.10234.1.S1_s_at	59.2322	59.1791	49.704
Mtr.10235.1.S1_at	12.4504	8.76728	11.7787
Mtr.10236.1.S1_at	31.2488	30.6073	36.129
Mtr.10237.1.S1_at	33.5668	38.7729	32.9617
Mtr.10238.1.S1_at	169.136	154.758	153.366
Mtr.10239.1.S1_at	78.2153	100.852	81.192
Mtr.10240.1.S1_at	813.715	694.072	599.741
Mtr.10241.1.S1_at	7.99731	5.62923	6.44729
Mtr.10242.1.S1_at	202.356	254.904	253.139
Mtr.10243.1.S1_at	93.9066	80.1054	77.451
Mtr.10244.1.S1_at	72.9994	62.9491	68.3554
Mtr.10245.1.S1_at	281.638	301.152	285.785
Mtr.10246.1.S1_at	18.7802	19.3494	19.6169
Mtr.10247.1.S1_at	1061.46	928.052	960.45
Mtr.10248.1.S1_at	1104.97	2002.86	1683.97
Mtr.10249.1.S1_at	18.0347	16.8827	18.9372
Mtr.1025.1.S1_at	70.4208	40.9381	44.166
Mtr.10250.1.S1_at	8.2895	8.7626	8.65079
Mtr.10251.1.S1_at	331.499	398.606	302.57
Mtr.10252.1.S1_at	7.41796	11.8817	13.9284
Mtr.10253.1.S1_at	200.219	214.266	184.266
Mtr.10254.1.S1_at	280.331	373.337	294.001
Mtr.10255.1.S1_at	408.876	255.855	287.281
Mtr.10256.1.S1_at	26.8293	26.4174	22.4885
Mtr.10257.1.S1_at	46.7715	141.526	79.6951
Mtr.10258.1.S1_at	62.6575	44.2449	40.4208
Mtr.10259.1.S1_at	11.2956	8.1432	8.41132
Mtr.10261.1.S1_at	25.376	21.9755	30.9767
Mtr.10262.1.S1_at	46.6908	61.3488	38.9952
Mtr.10263.1.S1_at	1195.12	1227.38	1172.34
Mtr.10264.1.S1_at	25.1155	30.3747	21.6157
Mtr.10265.1.S1_at	82.9261	80.4354	109.443
Mtr.10265.1.S1_s_at	218.617	233.363	257.87
Mtr.10266.1.S1_at	120.109	158.599	141.682
Mtr.10267.1.S1_at	587.134	558.149	577.696
Mtr.10267.1.S1_a_at	1496.37	1563.82	1462.29
Mtr.10268.1.S1_at	234.617	259.047	210.785
Mtr.10269.1.S1_at	72.8941	75.8855	63.5371
Mtr.1027.1.S1_at	114.209	135.221	122.667
Mtr.10270.1.S1_at	260.016	247.722	230.57
Mtr.10271.1.S1_at	20.3922	27.5089	28.7393
Mtr.10272.1.S1_at	1255.24	1004.59	891.017
Mtr.10273.1.S1_at	192.289	193.432	172.546
Mtr.10274.1.S1_at	106.842	101.687	88.0126
Mtr.10275.1.S1_s_at	9.71336	9.82179	11.6728
Mtr.10276.1.S1_at	18.3979	26.0611	17.0757
Mtr.10277.1.S1_at	148.407	110.865	87.11
Mtr.10278.1.S1_at	324.802	331.132	328.821
Mtr.10279.1.S1_at	6.2672	6.73935	6.49314
Mtr.10279.1.S1_s_at	44.1368	55.567	42.476
Mtr.1028.1.S1_at	8.80551	7.89722	6.61314
