Probeset	ART_03dpi_control_1	ART_03dpi_control_2	ART_03dpi_control_3
Mtr.10120.1.S1_at	339.131	328.374	294.48
Mtr.10121.1.S1_at	91.1255	98.5385	107.365
Mtr.10122.1.S1_at	7.38915	9.58444	8.15609
Mtr.10123.1.S1_at	167.759	151.324	173.482
Mtr.10124.1.S1_at	7.73644	7.17339	7.45769
Mtr.10125.1.S1_at	9.36763	9.91065	10.1086
Mtr.10126.1.S1_at	15.6399	11.0659	11.4311
Mtr.10127.1.S1_at	21.2635	18.3748	25.7415
Mtr.10127.1.S1_s_at	139.056	96.9789	141.506
Mtr.10128.1.S1_at	38.2352	50.2076	44.7739
Mtr.10129.1.S1_at	406.251	357.48	351.861
Mtr.1013.1.S1_at	8.94418	8.4311	9.46672
Mtr.10130.1.S1_at	153.95	144.132	123.506
Mtr.10131.1.S1_at	94.1488	95.7827	81.8931
Mtr.10132.1.S1_at	216.242	203.03	226.151
Mtr.10133.1.S1_at	604.225	562.274	573.225
Mtr.10134.1.S1_at	25.0188	19.9736	28.6025
Mtr.10135.1.S1_at	50.0979	54.8673	45.4264
Mtr.10136.1.S1_at	331.712	256.176	320.178
Mtr.10137.1.S1_at	73.8505	63.1193	59.9202
Mtr.10138.1.S1_at	288.292	292.478	285.28
Mtr.10139.1.S1_at	112.256	106.267	96.4885
Mtr.1014.1.S1_at	105.605	100.926	78.4802
Mtr.10140.1.S1_at	12.3608	15.7096	12.187
Mtr.10141.1.S1_at	16.3841	20.7414	11.9207
Mtr.10142.1.S1_at	33.0769	35.2984	37.4135
Mtr.10143.1.S1_at	7.13783	6.51657	6.63209
Mtr.10144.1.S1_at	153.979	153.659	162.938
Mtr.10145.1.S1_at	22.794	13.9466	26.1115
Mtr.10146.1.S1_at	11.6917	8.49518	12.3849
Mtr.10146.1.S1_s_at	13.5352	12.879	21.8984
Mtr.10147.1.S1_at	12.2244	12.4965	12.8205
Mtr.10148.1.S1_at	149.592	152.459	158.079
Mtr.10149.1.S1_at	8.40327	7.88127	8.98664
Mtr.1015.1.S1_at	41.3986	50.9084	53.4088
Mtr.10150.1.S1_at	12.0041	12.5387	8.23033
Mtr.10151.1.S1_s_at	31.9054	30.3036	39.2018
Mtr.10152.1.S1_at	313.226	300.215	296.657
Mtr.10153.1.S1_at	9.09004	10.3486	10.7714
Mtr.10153.1.S1_s_at	38.9419	21.7932	21.2832
Mtr.10154.1.S1_at	11.3476	9.91051	9.56035
Mtr.10155.1.S1_at	121.482	120.756	121.196
Mtr.10156.1.S1_at	55.9289	64.9034	47.4789
Mtr.10157.1.S1_at	155.254	150.174	163.654
Mtr.10158.1.S1_at	490.525	513.937	475.604
Mtr.10159.1.S1_at	42.6057	55.8625	40.6648
Mtr.1016.1.S1_at	73.6533	59.7003	81.8924
Mtr.10160.1.S1_at	6.78819	7.43073	8.29491
Mtr.10160.1.S1_x_at	7.06661	7.09251	8.67218
Mtr.10161.1.S1_at	228.883	232.538	225.536
Mtr.10162.1.S1_at	41.6636	45.2059	32.3561
Mtr.10163.1.S1_at	54.5363	58.7153	59.8057
Mtr.10164.1.S1_at	132.671	135.105	124.404
Mtr.10165.1.S1_at	1341.01	1158.13	1340.11
Mtr.10166.1.S1_at	1148.39	1095.61	1067.82
Mtr.10167.1.S1_at	28.8109	22.4099	43.54
Mtr.10168.1.S1_at	111.952	128.878	100.32
Mtr.10169.1.S1_at	80.1577	91.8464	79.8766
Mtr.1017.1.S1_at	7.29811	6.84953	6.32066
Mtr.10170.1.S1_at	24.0828	27.1288	27.4468
Mtr.10171.1.S1_at	41.3986	29.9811	48.975
Mtr.10172.1.S1_at	44.8304	44.4458	42.3762
Mtr.10173.1.S1_at	73.3423	77.0542	65.2546
Mtr.10174.1.S1_at	7.63199	8.70769	8.89507
Mtr.10175.1.S1_at	5017.27	4261.05	4835.05
Mtr.10176.1.S1_at	215.764	202.911	194.85
Mtr.10177.1.S1_at	576.677	522.335	511.61
Mtr.10178.1.S1_at	662.734	710.891	699.052
Mtr.10179.1.S1_at	15.8154	10.9682	14.0736
Mtr.1018.1.S1_at	12.7701	14.0653	14.584
Mtr.1018.1.S1_s_at	844.849	798.246	877.575
Mtr.10180.1.S1_at	25.9025	26.9466	25.3211
Mtr.10181.1.S1_at	63.1496	52.5152	48.1242
Mtr.10182.1.S1_at	18.6065	20.0621	22.319
Mtr.10183.1.S1_s_at	76.3522	82.5235	63.8103
Mtr.10184.1.S1_at	36.5267	46.9245	41.9382
Mtr.10185.1.S1_at	43.8055	39.7191	37.1099
Mtr.10186.1.S1_at	23.2023	15.9899	22.7749
Mtr.10187.1.S1_at	732.099	814.345	712.854
